label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
binary_L11,serial,1,samples/binary_5x5.txt,2,256,256,42,0,1,1,32034,250549,0.000547503,64.0006,64.0009
binary_L11,serial,1,samples/binary_5x5.txt,2,256,256,43,1,1,1,32680,253677,0.000547503,61.6384,61.6387
binary_L11,serial,1,samples/binary_5x5.txt,2,256,256,44,2,1,1,33241,256116,0.000547503,61.9827,61.9829
terrain_L33,kokkos,-1,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,8611,0.000476693,0.318365,0.318458
terrain_L33,kokkos,-1,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,8939,0.000476693,0.351418,0.351503
terrain_L33,kokkos,-1,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,13661,0.000476693,0.462088,0.462263
terrain_L33,omp,1,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9123,0.000476693,0.0591287,0.0591409
terrain_L33,omp,1,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9380,0.000476693,0.0619788,0.0619813
terrain_L33,omp,1,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14813,0.000476693,0.0868023,0.0868066
terrain_L33,omp,2,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9128,0.000476693,0.0378628,0.0380041
terrain_L33,omp,2,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9360,0.000476693,0.0379743,0.0379778
terrain_L33,omp,2,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14784,0.000476693,0.0544754,0.0544815
terrain_L33,omp,4,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9117,0.000476693,0.0283669,0.0284848
terrain_L33,omp,4,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9357,0.000476693,0.0294681,0.0294714
terrain_L33,omp,4,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14803,0.000476693,0.041283,0.0412893
terrain_L33,omp,8,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9123,0.000476693,0.0315394,0.0316859
terrain_L33,omp,8,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9351,0.000476693,0.0316761,0.0316798
terrain_L33,omp,8,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14766,0.000476693,0.0435551,0.0435623
terrain_L33,omp,16,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9118,0.000476693,0.0747847,0.0750025
terrain_L33,omp,16,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9347,0.000476693,0.074127,0.0741365
terrain_L33,omp,16,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14793,0.000476693,0.101182,0.101203
terrain_L33,omp,32,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9127,0.000476693,0.130958,0.13148
terrain_L33,omp,32,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9344,0.000476693,0.138429,0.138442
terrain_L33,omp,32,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14780,0.000476693,0.181775,0.181803
terrain_L33,serial,1,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9123,0.000476693,0.0533135,0.0533265
terrain_L33,serial,1,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9380,0.000476693,0.0557059,0.0557847
terrain_L33,serial,1,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14807,0.000476693,0.0786772,0.0787748
terrain_L33,kokkos,-1,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,35987,0.000476693,1.28943,1.28953
terrain_L33,kokkos,-1,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,36100,0.000476693,1.30406,1.30409
