label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
binary_optim,omp,1,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,4.01851,4.01859
binary_optim,omp,1,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,4.1868,4.18682
binary_optim,omp,1,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.000812231,4.20386,4.20388
binary_optim,omp,2,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,2.08869,2.08885
binary_optim,omp,2,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,2.14812,2.14814
binary_optim,omp,2,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.000812231,2.18626,2.18628
binary_optim,omp,4,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,1.11645,1.11659
binary_optim,omp,4,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,1.15054,1.15056
binary_optim,omp,4,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.000812231,1.17193,1.17195
binary_optim,omp,8,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,0.673557,0.673707
binary_optim,omp,8,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,0.686666,0.686687
binary_optim,omp,8,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.000812231,0.721512,0.721533
binary_optim,omp,16,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,1.2299,1.23015
binary_optim,omp,16,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,1.27237,1.27243
binary_optim,omp,16,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.000812231,1.27664,1.27671
binary_optim,omp,32,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,3.89002,3.89057
binary_optim,omp,32,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,4.01233,4.0124
binary_optim,omp,32,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.000812231,4.04326,4.04333
binary_optim,omp,64,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,10.3209,10.3221
binary_optim,omp,64,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,10.5548,10.5549
binary_optim,omp,64,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.000812231,10.5278,10.5279
binary_optim,omp,96,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,13.4107,13.4118
binary_optim,omp,96,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,13.7348,13.7348
binary_optim,omp,96,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.000812231,13.7352,13.7352
binary_optim,omp,192,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.000812231,26.9064,26.9098
binary_optim,omp,192,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.000812231,27.6624,27.6626
