label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
binary_L11,omp,1,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00607678,0.018768,0.0187755
binary_L11,omp,1,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00607678,0.0179525,0.0179539
binary_L11,omp,1,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4004,0.00607678,0.0184671,0.018468
binary_L11,omp,1,samples/binary_5x5.txt,2,32,32,45,3,1,1,542,4066,0.00607678,0.0193598,0.0193607
binary_L11,omp,1,samples/binary_5x5.txt,2,32,32,46,4,1,1,527,4039,0.00607678,0.0188904,0.0188914
binary_L11,omp,2,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3957,0.00607678,0.0150209,0.0150221
binary_L11,omp,2,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3989,0.00607678,0.013647,0.0136488
binary_L11,omp,2,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4000,0.00607678,0.0138721,0.0138738
binary_L11,omp,2,samples/binary_5x5.txt,2,32,32,45,3,1,1,542,4062,0.00607678,0.0145249,0.0145267
binary_L11,omp,2,samples/binary_5x5.txt,2,32,32,46,4,1,1,527,4037,0.00607678,0.0140339,0.0140356
binary_L11,omp,4,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3959,0.00607678,0.0131665,0.0131684
binary_L11,omp,4,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3991,0.00607678,0.0134454,0.0134476
binary_L11,omp,4,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4004,0.00607678,0.0137025,0.0137046
binary_L11,omp,4,samples/binary_5x5.txt,2,32,32,45,3,1,1,542,4066,0.00607678,0.0141524,0.0141545
binary_L11,omp,4,samples/binary_5x5.txt,2,32,32,46,4,1,1,527,4038,0.00607678,0.0134288,0.0134308
binary_L11,omp,8,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00607678,0.0173572,0.0173592
binary_L11,omp,8,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00607678,0.0176365,0.0176389
binary_L11,omp,8,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4004,0.00607678,0.0177081,0.0177106
binary_L11,omp,8,samples/binary_5x5.txt,2,32,32,45,3,1,1,542,4066,0.00607678,0.0185027,0.018505
binary_L11,omp,8,samples/binary_5x5.txt,2,32,32,46,4,1,1,527,4039,0.00607678,0.0179754,0.0179776
binary_L11,omp,16,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00607678,0.0576019,0.0576042
binary_L11,omp,16,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00607678,0.0555321,0.0555378
