label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9123,0.00607178,0.0584799,0.058488
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9380,0.00607178,0.0594898,0.059491
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14813,0.00607178,0.0832897,0.0832919
terrain_N2,omp,2,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9114,0.00607178,0.0388674,0.0388688
terrain_N2,omp,2,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9361,0.00607178,0.0386691,0.0386708
terrain_N2,omp,2,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14782,0.00607178,0.0551609,0.0551644
terrain_N2,omp,4,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9118,0.00607178,0.028863,0.028865
terrain_N2,omp,4,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9365,0.00607178,0.0297981,0.0298004
terrain_N2,omp,4,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14785,0.00607178,0.0418514,0.0418556
terrain_N2,omp,8,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9122,0.00607178,0.0342193,0.0342217
terrain_N2,omp,8,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9378,0.00607178,0.0343941,0.0343965
terrain_N2,omp,8,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14808,0.00607178,0.0470975,0.0471022
terrain_N2,omp,16,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9122,0.00607178,0.0966848,0.0966873
terrain_N2,omp,16,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9376,0.00607178,0.102514,0.10252
terrain_N2,omp,16,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14813,0.00607178,0.136883,0.136897
terrain_N2,omp,32,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9119,0.00607178,0.125794,0.1258
terrain_N2,omp,32,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9376,0.00607178,0.132231,0.132238
terrain_N2,omp,32,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14810,0.00607178,0.175719,0.175735
terrain_N2,omp,64,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9118,0.00607178,0.256403,0.25641
terrain_N2,omp,64,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9378,0.00607178,0.274505,0.274515
terrain_N2,omp,64,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14810,0.00607178,0.359804,0.359823
terrain_N2,serial,1,samples/multivalue_terrain.txt,2,32,32,7,0,1,1,718,9123,0.00607178,0.0513554,0.0513646
terrain_N2,serial,1,samples/multivalue_terrain.txt,2,32,32,8,1,1,1,768,9380,0.00607178,0.0536448,0.0536467
terrain_N2,serial,1,samples/multivalue_terrain.txt,2,32,32,9,2,1,2,944,14807,0.00607178,0.0756139,0.0756166
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,37756,0.00607178,0.911897,0.911932
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,37887,0.00607178,0.938234,0.938236
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,64,64,9,2,1,1,3000,37519,0.00607178,0.933983,0.933984
terrain_N2,omp,2,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,37660,0.00607178,0.503859,0.503861
terrain_N2,omp,2,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,37781,0.00607178,0.515681,0.515683
terrain_N2,omp,2,samples/multivalue_terrain.txt,2,64,64,9,2,1,1,3000,37444,0.00607178,0.531659,0.531664
terrain_N2,omp,4,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,37678,0.00607178,0.298453,0.298457
terrain_N2,omp,4,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,37805,0.00607178,0.304958,0.304964
terrain_N2,omp,4,samples/multivalue_terrain.txt,2,64,64,9,2,1,1,3000,37487,0.00607178,0.317692,0.317697
terrain_N2,omp,8,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,37748,0.00607178,0.214141,0.214147
terrain_N2,omp,8,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,37883,0.00607178,0.218388,0.218394
terrain_N2,omp,8,samples/multivalue_terrain.txt,2,64,64,9,2,1,1,3000,37517,0.00607178,0.236734,0.236739
terrain_N2,omp,16,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,37743,0.00607178,0.567514,0.567519
terrain_N2,omp,16,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,37875,0.00607178,0.568353,0.56837
terrain_N2,omp,16,samples/multivalue_terrain.txt,2,64,64,9,2,1,1,3000,37504,0.00607178,0.559854,0.559871
terrain_N2,omp,32,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,37748,0.00607178,1.25152,1.25154
terrain_N2,omp,32,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,37876,0.00607178,1.26253,1.26255
terrain_N2,omp,32,samples/multivalue_terrain.txt,2,64,64,9,2,1,1,3000,37500,0.00607178,1.23794,1.23796
terrain_N2,omp,64,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,37739,0.00607178,1.9325,1.93252
terrain_N2,omp,64,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,37875,0.00607178,1.93387,1.93388
terrain_N2,omp,64,samples/multivalue_terrain.txt,2,64,64,9,2,1,1,3000,37510,0.00607178,1.87723,1.87725
terrain_N2,serial,1,samples/multivalue_terrain.txt,2,64,64,7,0,1,1,3040,37756,0.00607178,0.886645,0.886662
terrain_N2,serial,1,samples/multivalue_terrain.txt,2,64,64,8,1,1,1,3093,37887,0.00607178,0.912106,0.912108
terrain_N2,serial,1,samples/multivalue_terrain.txt,2,64,64,9,2,1,1,3000,37519,0.00607178,0.908867,0.908869
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,128,128,7,0,1,1,12276,150871,0.00607178,14.8061,14.8062
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,128,128,8,1,1,1,12244,150810,0.00607178,14.8071,14.8071
terrain_N2,omp,1,samples/multivalue_terrain.txt,2,128,128,9,2,1,2,12695,160217,0.00607178,15.9542,15.9542
terrain_N2,omp,2,samples/multivalue_terrain.txt,2,128,128,7,0,1,1,12276,150594,0.00607178,7.63371,7.63372
