label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.0062727,0.278074,0.278099
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.0062727,0.280798,0.280804
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16143,0.0062727,0.275353,0.275358
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,64,64,45,3,1,1,2060,16187,0.0062727,0.275942,0.275948
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,64,64,46,4,1,1,2054,16101,0.0062727,0.274672,0.274676
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.0062727,0.10251,0.102678
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16306,0.0062727,0.104689,0.104696
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16146,0.0062727,0.10213,0.102138
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,64,64,45,3,1,1,2060,16187,0.0062727,0.104243,0.10425
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,64,64,46,4,1,1,2054,16101,0.0062727,0.102792,0.102799
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.0062727,0.0941229,0.0942742
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16306,0.0062727,0.100059,0.100066
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16144,0.0062727,0.0943585,0.094366
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,64,64,45,3,1,1,2060,16187,0.0062727,0.0992054,0.0992121
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,64,64,46,4,1,1,2054,16098,0.0062727,0.0973048,0.0973121
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16206,0.0062727,0.408567,0.408793
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.0062727,0.41277,0.412791
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16145,0.0062727,0.406659,0.406681
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,64,64,45,3,1,1,2060,16188,0.0062727,0.396804,0.396825
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,64,64,46,4,1,1,2054,16100,0.0062727,0.395405,0.395426
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.0062727,0.902588,0.903144
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16307,0.0062727,0.916102,0.916126
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16146,0.0062727,0.901388,0.901411
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,64,64,45,3,1,1,2060,16187,0.0062727,0.88647,0.886496
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,64,64,46,4,1,1,2054,16100,0.0062727,0.883121,0.883146
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.0062727,1.23306,1.23413
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16304,0.0062727,1.24623,1.24626
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16144,0.0062727,1.20933,1.20936
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,64,64,45,3,1,1,2060,16187,0.0062727,1.20043,1.20046
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,64,64,46,4,1,1,2054,16099,0.0062727,1.1912,1.19122
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.0062727,1.92639,1.92753
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16304,0.0062727,1.96008,1.96011
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16145,0.0062727,1.92954,1.92958
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,64,64,45,3,1,1,2060,16188,0.0062727,1.88841,1.88845
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,64,64,46,4,1,1,2054,16100,0.0062727,1.89358,1.89362
