label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
smoke,omp,1,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00649534,0.0187953,0.0188065
smoke,omp,1,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00649534,0.0179356,0.0179367
smoke,omp,4,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00649534,0.0147828,0.0147837
smoke,omp,4,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3991,0.00649534,0.0133725,0.0133749
smoke,omp,16,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00649534,0.0560115,0.0560136
smoke,omp,16,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00649534,0.0530394,0.0530452
smoke,omp,64,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00649534,0.182615,0.182621
smoke,omp,64,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00649534,0.180737,0.180747
smoke,omp,192,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00649534,0.75072,0.750729
smoke,omp,192,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00649534,0.786686,0.786704
smoke,serial,1,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00649534,0.0152238,0.0152404
smoke,serial,1,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00649534,0.0151529,0.0151552
smoke,omp,1,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00649534,0.263388,0.263397
smoke,omp,1,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00649534,0.265803,0.265805
smoke,omp,4,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00649534,0.0981753,0.0981775
smoke,omp,4,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00649534,0.10051,0.100514
smoke,omp,16,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00649534,0.485085,0.485091
smoke,omp,16,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00649534,0.49724,0.497256
smoke,omp,64,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00649534,1.48115,1.48117
smoke,omp,64,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00649534,1.49575,1.49577
smoke,omp,192,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00649534,4.60198,4.602
smoke,omp,192,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00649534,4.76214,4.76218
smoke,serial,1,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00649534,0.250556,0.250579
smoke,serial,1,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00649534,0.253133,0.253135
smoke,omp,1,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.00649534,3.89203,3.89208
smoke,omp,1,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.00649534,4.05209,4.0521
smoke,omp,4,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63338,0.00649534,1.15792,1.15793
smoke,omp,4,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64301,0.00649534,1.18641,1.18642
smoke,omp,16,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.00649534,1.89664,1.89666
smoke,omp,16,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.00649534,2.03001,2.03007
smoke,omp,64,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63335,0.00649534,12.537,12.537
smoke,omp,64,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.00649534,13.059,13.0591
smoke,omp,192,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.00649534,37.515,37.5151
smoke,omp,192,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.00649534,38.8135,38.8136
smoke,serial,1,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.00649534,3.83164,3.83171
smoke,serial,1,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.00649534,3.98976,3.98976
