label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
smoke_binary,omp,1,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00140419,0.0187079,0.0187321
smoke_binary,omp,1,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00140419,0.0186655,0.018668
smoke_binary,omp,1,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4004,0.00140419,0.0192595,0.0192618
smoke_binary,omp,4,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00140419,0.012871,0.012912
smoke_binary,omp,4,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3989,0.00140419,0.0130304,0.0130337
smoke_binary,omp,4,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4004,0.00140419,0.0132634,0.0132669
smoke_binary,omp,16,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00140419,0.0472246,0.0474803
smoke_binary,omp,16,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00140419,0.0458015,0.0458114
smoke_binary,omp,16,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4004,0.00140419,0.0446184,0.0446279
smoke_binary,omp,32,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00140419,0.0817874,0.0822988
smoke_binary,omp,32,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3989,0.00140419,0.0813161,0.0813298
smoke_binary,omp,32,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4004,0.00140419,0.0833104,0.0833232
smoke_binary,serial,1,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3958,0.00140419,0.0149131,0.0149256
smoke_binary,serial,1,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3990,0.00140419,0.0149317,0.014966
smoke_binary,serial,1,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,4004,0.00140419,0.0154831,0.0155117
smoke_binary,omp,1,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00140419,0.261043,0.261062
smoke_binary,omp,1,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00140419,0.263677,0.263682
smoke_binary,omp,1,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16143,0.00140419,0.258698,0.258703
smoke_binary,omp,4,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00140419,0.0968862,0.0969227
smoke_binary,omp,4,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16306,0.00140419,0.100445,0.100451
smoke_binary,omp,4,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16145,0.00140419,0.0980519,0.0980588
smoke_binary,omp,16,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00140419,0.393394,0.393657
smoke_binary,omp,16,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00140419,0.395388,0.395408
smoke_binary,omp,16,samples/binary_5x5.txt,2,64,64,44,2,1,1,2101,16143,0.00140419,0.387697,0.387717
smoke_binary,omp,32,samples/binary_5x5.txt,2,64,64,42,0,1,1,2095,16207,0.00140419,0.645337,0.645825
smoke_binary,omp,32,samples/binary_5x5.txt,2,64,64,43,1,1,1,2140,16305,0.00140419,0.655679,0.655703
